order_id,phone,order_type,place_id
1,(619) 391-0663,Delivery,263
2,(251) 948-8527,Dine-in,337
3,(775) 844-3713,Takeout,202
4,(916) 721-2558,Takeout,156
5,(706) 401-2810,Curbside Pickup,11
6,(214) 775-4758,Catering,488
7,(419) 966-8021,Delivery,240
8,(804) 213-2176,Dine-in,387
9,(941) 745-8327,Delivery,441
10,(704) 781-8658,Curbside Pickup,259
11,(260) 536-5543,Takeout,491
12,(615) 928-2641,Curbside Pickup,454
13,(804) 535-0197,Delivery,137
14,(309) 433-1362,Delivery,358
15,(202) 558-6266,Catering,28
16,(954) 580-7605,Catering,275
17,(717) 918-1635,Curbside Pickup,164
18,(412) 830-6198,Curbside Pickup,110
19,(513) 735-8185,Curbside Pickup,195
20,(304) 679-1621,Dine-in,78
21,(805) 805-6712,Catering,116
22,(304) 831-2376,Takeout,89
23,(612) 831-4702,Dine-in,131
24,(617) 450-7662,Takeout,368
25,(203) 569-9556,Takeout,303
26,(317) 413-3858,Takeout,295
27,(202) 629-9002,Delivery,411
28,(404) 803-9407,Curbside Pickup,408
29,(907) 552-3765,Curbside Pickup,222
30,(916) 671-9382,Catering,59
31,(916) 207-5501,Catering,225
32,(816) 792-1034,Takeout,337
33,(407) 532-2769,Curbside Pickup,363
34,(518) 875-7599,Curbside Pickup,413
35,(559) 790-1506,Catering,481
36,(309) 786-0240,Catering,267
37,(404) 900-5150,Catering,144
38,(508) 212-0971,Delivery,442
39,(212) 403-5533,Curbside Pickup,443
40,(772) 687-7493,Catering,499
41,(712) 462-6743,Dine-in,72
42,(305) 393-5734,Delivery,472
43,(801) 618-5166,Delivery,405
44,(502) 218-9749,Dine-in,331
45,(559) 723-8693,Catering,179
46,(860) 959-1880,Delivery,410
47,(865) 945-4646,Takeout,425
48,(513) 554-2048,Curbside Pickup,169
49,(404) 453-7174,Curbside Pickup,200
50,(775) 489-9924,Takeout,30
51,(253) 771-6269,Delivery,103
52,(615) 722-0934,Curbside Pickup,422
53,(806) 514-0600,Curbside Pickup,261
54,(405) 224-3202,Takeout,274
55,(817) 398-7773,Takeout,370
56,(210) 338-0495,Delivery,293
57,(210) 242-7373,Takeout,101
58,(941) 539-3921,Delivery,441
59,(205) 822-8721,Catering,135
60,(415) 868-6370,Curbside Pickup,463
61,(859) 651-5768,Takeout,108
62,(727) 921-0503,Dine-in,73
63,(903) 480-6259,Delivery,328
64,(502) 409-1939,Curbside Pickup,377
65,(602) 348-5715,Takeout,267
66,(330) 978-2844,Dine-in,276
67,(203) 910-4117,Catering,417
68,(864) 370-2633,Delivery,8
69,(858) 503-9979,Takeout,137
70,(862) 305-9309,Delivery,420
71,(646) 538-6255,Catering,412
72,(916) 760-5094,Curbside Pickup,298
73,(518) 604-5846,Dine-in,291
74,(319) 772-5809,Dine-in,464
75,(571) 682-1749,Catering,178
76,(717) 890-9628,Delivery,324
77,(919) 882-8089,Catering,66
78,(727) 996-9407,Dine-in,227
79,(313) 672-5153,Curbside Pickup,145
80,(571) 734-1205,Catering,350
81,(803) 823-6235,Dine-in,71
82,(601) 640-3552,Delivery,242
83,(205) 987-0417,Dine-in,187
84,(561) 805-8779,Catering,329
85,(214) 447-8341,Dine-in,489
86,(260) 523-7859,Delivery,396
87,(616) 586-4312,Curbside Pickup,143
88,(202) 524-0901,Delivery,135
89,(702) 699-6588,Curbside Pickup,104
90,(850) 440-4318,Dine-in,274
91,(601) 745-5734,Curbside Pickup,187
92,(619) 686-0921,Catering,493
93,(810) 417-0699,Dine-in,262
94,(775) 926-5844,Curbside Pickup,268
95,(617) 491-3189,Dine-in,99
96,(304) 530-2534,Curbside Pickup,416
97,(202) 965-2012,Takeout,376
98,(304) 556-6488,Dine-in,37
99,(937) 439-9827,Catering,263
100,(602) 561-0144,Curbside Pickup,212
101,(916) 377-1010,Dine-in,38
102,(701) 975-8592,Takeout,121
103,(361) 957-8040,Delivery,233
104,(203) 409-5954,Takeout,237
105,(702) 225-5193,Curbside Pickup,484
106,(202) 540-4527,Catering,437
107,(601) 770-1522,Dine-in,252
108,(972) 682-1173,Delivery,449
109,(909) 599-5758,Dine-in,467
110,(413) 487-7353,Takeout,5
111,(850) 816-2323,Takeout,27
112,(718) 317-4387,Takeout,100
113,(202) 960-5266,Takeout,96
114,(310) 558-5667,Delivery,384
115,(918) 531-6819,Curbside Pickup,406
116,(206) 234-5093,Takeout,244
117,(234) 342-0872,Curbside Pickup,499
118,(713) 704-1463,Takeout,224
119,(804) 880-8803,Delivery,142
120,(512) 713-7797,Dine-in,147
121,(702) 295-7405,Takeout,468
122,(405) 314-0161,Catering,68
123,(415) 572-1513,Delivery,465
124,(318) 858-2022,Takeout,493
125,(806) 706-5972,Catering,311
126,(574) 642-6931,Catering,26
127,(251) 541-1809,Takeout,44
128,(612) 723-5362,Catering,133
129,(312) 676-3423,Takeout,34
130,(860) 887-0142,Dine-in,392
131,(816) 897-4579,Takeout,174
132,(407) 691-6567,Curbside Pickup,408
133,(785) 678-9283,Delivery,140
134,(703) 207-7061,Dine-in,267
135,(956) 882-3074,Takeout,54
136,(205) 308-2891,Catering,455
137,(386) 827-2802,Takeout,243
138,(806) 818-6478,Takeout,111
139,(419) 983-5600,Catering,101
140,(540) 430-3614,Curbside Pickup,342
141,(504) 354-6337,Delivery,357
142,(651) 846-8725,Catering,418
143,(213) 985-0186,Takeout,238
144,(215) 930-2294,Catering,222
145,(202) 929-7082,Dine-in,484
146,(318) 321-6813,Delivery,177
147,(678) 858-4771,Delivery,268
148,(316) 368-0644,Takeout,345
149,(682) 856-4736,Curbside Pickup,214
150,(724) 621-5178,Takeout,288
151,(612) 759-2893,Curbside Pickup,365
152,(404) 977-3489,Delivery,351
153,(651) 639-2119,Delivery,195
154,(303) 365-5472,Delivery,372
155,(434) 779-6735,Delivery,52
156,(479) 708-6061,Dine-in,500
157,(763) 574-5044,Dine-in,89
158,(716) 540-0537,Catering,395
159,(402) 271-5093,Catering,340
160,(651) 527-8253,Takeout,178
161,(320) 381-0905,Catering,494
162,(513) 238-4047,Delivery,332
163,(202) 994-2600,Curbside Pickup,180
164,(682) 266-0389,Dine-in,185
165,(785) 871-7985,Delivery,57
166,(862) 496-6589,Dine-in,182
167,(386) 253-9654,Dine-in,478
168,(502) 256-4075,Dine-in,99
