order_id,phone,order_type,place_id
1001,(813) 387-9271,Takeout,224
1002,(518) 990-0512,Delivery,180
1003,(602) 660-5596,Catering,22
1004,(814) 891-5773,Dine-in,167
1005,(907) 913-2106,Takeout,104
1006,(267) 507-3158,Catering,368
1007,(205) 730-7424,Catering,254
1008,(918) 242-9778,Catering,41
1009,(714) 337-8070,Takeout,335
1010,(228) 612-8693,Curbside Pickup,206
1011,(504) 291-9574,Catering,358
1012,(713) 787-2510,Takeout,231
1013,(601) 566-9905,Delivery,417
1014,(970) 405-4962,Catering,369
1015,(501) 243-2948,Dine-in,400
1016,(405) 229-7001,Delivery,272
1017,(405) 703-9248,Dine-in,190
1018,(816) 526-6826,Curbside Pickup,409
1019,(315) 223-8636,Dine-in,205
1020,(810) 963-5095,Delivery,378
1021,(408) 635-3564,Curbside Pickup,150
1022,(561) 539-9365,Dine-in,181
1023,(336) 870-9795,Delivery,416
1024,(202) 575-5370,Takeout,450
1025,(718) 634-5489,Delivery,442
1026,(718) 281-9868,Catering,214
1027,(202) 746-4173,Delivery,273
1028,(704) 276-0686,Catering,191
1029,(770) 302-0134,Catering,274
1030,(806) 486-8105,Delivery,166
1031,(813) 767-4146,Delivery,33
1032,(907) 823-5899,Catering,60
1033,(603) 881-6567,Dine-in,344
1034,(336) 702-6828,Catering,101
1035,(713) 695-2171,Dine-in,204
1036,(405) 750-6294,Curbside Pickup,43
1037,(425) 865-5205,Curbside Pickup,74
1038,(816) 906-9113,Delivery,219
1039,(512) 988-8456,Curbside Pickup,445
1040,(765) 383-6655,Catering,115
1041,(317) 963-4148,Curbside Pickup,457
1042,(727) 684-1714,Takeout,285
1043,(202) 356-5462,Catering,496
1044,(513) 890-7821,Dine-in,429
1045,(704) 670-1617,Delivery,347
1046,(636) 263-5543,Catering,170
1047,(763) 346-4877,Curbside Pickup,266
1048,(325) 624-2042,Takeout,435
1049,(253) 859-4437,Dine-in,59
1050,(941) 204-6185,Dine-in,381
1051,(309) 420-0409,Curbside Pickup,444
1052,(515) 735-0719,Delivery,14
1053,(714) 991-2310,Catering,365
1054,(814) 276-7554,Dine-in,292
1055,(979) 598-8958,Curbside Pickup,84
1056,(518) 242-8795,Delivery,303
1057,(704) 337-6648,Dine-in,136
1058,(253) 879-4063,Catering,365
1059,(336) 545-3394,Delivery,39
1060,(504) 667-6800,Takeout,194
1061,(561) 904-5105,Delivery,182
1062,(626) 486-7216,Catering,304
1063,(214) 933-9115,Dine-in,25
1064,(336) 304-0149,Curbside Pickup,104
1065,(901) 360-5128,Dine-in,454
1066,(484) 396-0591,Dine-in,117
1067,(262) 723-0428,Dine-in,169
1068,(305) 965-7022,Takeout,183
1069,(513) 243-5307,Dine-in,384
1070,(941) 460-4071,Takeout,341
1071,(402) 514-8584,Catering,328
1072,(915) 992-6102,Curbside Pickup,427
1073,(786) 689-4808,Catering,162
1074,(302) 610-6753,Delivery,143
